"Client.Type","Account","ACV_2022","ACV_2023","ACV_2024","First_Record_Type_Name","First_Opportunity_ID"
"End Client","0015Y00004f6uRG",0,42187.79,0,"ERC","0065Y00001gYDV3"
"End Client","0015Y00004f6zJp",0,6500,0,"Cost Seg","0065Y00001gYE2U"
"End Client","0015Y00004f706o",0,5100,0,"Cost Seg","0065Y00001gYE62"
"End Client","0015Y00004f72YN",0,14400,0,"Energy","0065Y00001gYEEf"
"End Client","0015Y00004f72o8",0,5100,0,"Energy","0065Y00001gYEFx"
"End Client","0015Y00004f73sU",0,6250,0,"Cost Seg","0065Y00001gYEID"
"End Client","0015Y00004f75k5",0,5500,0,"Cost Seg","0065Y00001gOjks"
"End Client","0015Y00004f79Jf",0,3750,0,"Cost Seg","0065Y00001gYERh"
"End Client","0015Y00004f7IzC",0,0,20500,"R&D","0065Y00001gYEiG"
"End Client","0015Y00004f7NR8",0,22500,0,"Cost Seg","0065Y00001gYFMw"
"End Client","0015Y00004f7NTE",0,11500,0,"Cost Seg","0065Y00001gYFMI"
"End Client","0015Y00004f7SdV",0,270658.79,0,"ERC","0065Y00001gYFr7"
"End Client","0015Y00004f7nYt",0,6649.66,0,"R&D","0065Y00001gYGlC"
"End Client","0015Y00004f7ruj",0,8250,0,"Cost Seg","0065Y00001gYIAJ"
"End Client","0015Y00004f7ukO",0,8000,0,"R&D","0065Y00001gYJzy"
"End Client","0015Y00004f8035",0,13000,0,"Cost Seg","0065Y00001gYKQi"
"End Client","0015Y00004f81C1",0,7500,0,"Cost Seg","0065Y00001gYKS0"
"End Client","0015Y00004f8AqU",0,21214.58,0,"ERC","0065Y00001gYKbZ"
"End Client","0015Y00004f8B9U",0,6500,0,"Cost Seg","0065Y00001gYKgC"
"End Client","0015Y00004f8BPY",0,9000,0,"Cost Seg","0065Y00001gYKim"
"End Client","0015Y00004f8C5r",0,8010,0,"Cost Seg","0065Y00001gYKrh"
"End Client","0015Y00004f8CAB",0,5000,0,"Cost Seg","0065Y00001gY7cV"
"End Client","0015Y00004f8D4W",0,4900,0,"Cost Seg","0065Y00001gYKz7"
"End Client","0015Y00004f8DLE",0,48009.77,0,"ERC","0065Y00001gYL1D"
"End Client","0015Y00004f8HMG",0,8800,0,"Cost Seg","0065Y00001gYLIT"
"End Client","0015Y00004f8n5Q",0,1500,0,"Cost Seg","0065Y00001gYOB3"
"End Client","0015Y00004fA9gy",0,7079.41,0,"ERC","0065Y00001gYPLv"
"End Client","0015Y00004fA9lD",0,10000,0,"Cost Seg","0065Y00001gYPMP"
"CPA","0015Y00004fAAfi",0,0,19697.4,"GOAT.tax","006TO000001f9QB"
"End Client","0015Y00004fAB5p",0,75766.75,0,"R&D","0065Y00001gYPhS"
"End Client","0015Y00004fAFcI",0,45600,0,"Cost Seg","0065Y00001gYPyi"
"End Client","0015Y00004fAGyG",0,6500,0,"Cost Seg","0065Y00001gYPzg"
"End Client","0015Y00004fAJdT",0,12500,0,"R&D","0065Y00001gYQ5U"
"End Client","0015Y00004fAJhA",0,3000,0,"Cost Seg","0065Y00001gYQDJ"
"End Client","0015Y00004fAYTf",0,6800,0,"Cost Seg","0065Y00001gYQgB"
"End Client","0015Y00004fAZl0",0,9500,0,"Cost Seg","0065Y00001gYQlv"
"End Client","0015Y00004fAfsu",0,8500,0,"Cost Seg","0065Y00001gYRB1"
"End Client","0015Y00004fAfyN",0,5600,0,"Cost Seg","0065Y00001gYRBp"
"End Client","0015Y00004fAi8y",0,7000,0,"Cost Seg","0065Y00001gYRIR"
"End Client","0015Y00004hspb1",0,4000,0,"Cost Seg","006TO000001MWry"
"End Client","0015Y00004hsuTM",0,10000,0,"SALT","006TO0000013J8n"
"End Client","0015Y00004hsvDJ",0,5000,0,"Cost Seg","0065Y00001gYe5u"
"End Client","0015Y00004hsvu9",0,0,8500,"Cost Seg","006TO000001YPQ1"
"End Client","0015Y00004htVAp",0,8000,0,"Cost Seg","0065Y00001gYSrn"
"End Client","0015Y00004htWX6",0,5700,0,"Cost Seg","0065Y00001gYT1Q"
"End Client","0015Y00004htcVB",0,18000,0,"R&D","0065Y00001gYZhF"
